priority_rank,business_name,city,state,phone,google_rating,google_review_count,priority_tier,priority_score,mockup_status,loom_status,loom_link,text_status,text_copy,call_timing,call_status,call_opening,angle,notes,source,mockup_url
12,Blue Mirror Pools / Brighton Pools by Costa,Port St Lucie,FL,(561) 377-7734,4.9,74,A,6,ready,todo,,todo,"Blue Mirror Pools / Brighton Pools by Costa in Port St Lucie, with 74 reviews and a 4.9-star rating.",1-2 hours after text or next day,todo,"Thank you for considering Blue Mirror Pools / Brighton Pools by Costa. Explore recent work, read customer feedback, and contact the team to discuss your project.",A SuperSite backed by 74 reviews and a 4.9-star reputation.,"Lead with clarity, trust, and the quality of the finished result.",https://verifiedpoolpros.com/listing/blue-mirror-pools-inc-port-st-lucie-fl,leads/blue-mirror-pools-brighton-pools-by-costa.html
13,Dorris Construction / Poolo LLC,Miami,FL,(954) 548-7139,5.0,62,A,6,todo,todo,,todo,62 five-star reviews and no website. Quick SuperSite demo for Dorris / Poolo.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Dorris Construction and Poolo have 62 five-star reviews with no digital front door. I put together a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. Takes half a minute.","Pull top 3 from Google \Dorris Construction Miami\"" or \""Poolo LLC\""; photos/logo from Google profile.""",https://verifiedpoolpros.com/listing/poolo-llc-miami-fl,/home/shark/jawsai911-site-fixed/hot-leads/leads/poolo-llc.html,
14,Design 1 / Design Concepts / Ideal Construction,Cape Coral,FL,(239) 945-1812,5.0,38,B,5,todo,todo,,todo,38 five-star reviews across the group and still no website. 30-sec SuperSite demo.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Design 1, Design Concepts, and Ideal are running under the same operation with 38 five-star reviews and no website. I built a quick SuperSite demo that can cover the group - reviews up front, after-hours capture. 30 seconds.","Pull top 3 from Google \Design 1 Construction Cape Coral\""; photos/logo from Google profile.""",https://verifiedpoolpros.com/listing/ideal-construction-cape-coral-fl,/home/shark/jawsai911-site-fixed/hot-leads/leads/ideal-construction.html,
15,Southern Waters Pools / Southern Shooters,Jacksonville,FL,(904) 228-4730,5.0,38,B,5,todo,todo,,todo,38 five-star reviews and no website. Quick SuperSite demo for Southern Waters.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Southern Waters is at 5.0 with 38 reviews and no website collecting the next jobs. I put together a quick demo - reviews front and center, after-hours lead capture, automatic follow-up. Takes about 30 seconds.","Pull top 3 from Google \Southern Waters Pools Jacksonville\""; photos/logo from Google profile.""",https://verifiedpoolpros.com/listing/southern-waters-pools-llc-jacksonville-fl,/home/shark/jawsai911-site-fixed/hot-leads/leads/southern-waters-pools-llc.html,
16,Largo Custom Pools / Unlimited Waters,Sarasota,FL,(941) 732-8653,5.0,36,B,5,todo,todo,,todo,36 five-star reviews and no website. 30-sec SuperSite demo for Largo Custom / Unlimited Waters.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Largo Custom and Unlimited Waters have 36 five-star reviews with nothing converting them online. I built a quick SuperSite demo - reviews up front, after-hours capture, follow-up. 30 seconds.","Pull top 3 from Google \Largo Custom Pools Sarasota\""; photos/logo from Google profile.""",https://verifiedpoolpros.com/listing/unlimited-waters-inc-sarasota-fl-1,/home/shark/jawsai911-site-fixed/hot-leads/leads/unlimited-waters-inc.html,
17,Geekpool Solutions LLC,Pompano Beach,FL,(954) 516-9355,4.8,35,B,5,todo,todo,,todo,35 reviews at 4.8 and no website. Quick SuperSite demo for Geekpool Solutions.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Geekpool Solutions is at 4.8 with 35 reviews. Solid service reputation - no system catching after-hours work. I put together a quick demo - missed-call recovery, automatic follow-up, review engine. Takes 30 seconds.","Pull top 3 from Google \Geekpool Solutions Pompano Beach\""; photos/logo from Google profile.""",https://verifiedpoolpros.com/listing/geekpool-solutions-llc-pompano-beach-fl,/home/shark/jawsai911-site-fixed/hot-leads/leads/geekpool-solutions-llc.html,
18,Reese Discount Pool Equipment Inc.,Pompano Beach,FL,(954) 918-2202,4.9,35,B,5,todo,todo,,todo,35 reviews at 4.9 and no website. 30-sec SuperSite demo for Reese Discount Pool Equipment.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Reese Discount Pool Equipment is at 4.9 with 35 reviews and no website. I built a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. 30 seconds.","Pull top 3 from Google \Reese Discount Pool Equipment\""; photos/logo from Google profile.""",https://verifiedpoolpros.com/listing/reese-discount-pool-equipment-inc-pompano-beach-fl,/home/shark/jawsai911-site-fixed/hot-leads/leads/reese-discount-pool-equipment-inc.html,
19,Stone Harbor Homes LLC,Cape Coral,FL,(239) 440-8695,5.0,30,B,5,todo,todo,,todo,30 five-star reviews and no website. Quick SuperSite demo for Stone Harbor Homes.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Stone Harbor Homes is at 5.0 with 30 reviews and no digital front door. I put together a quick SuperSite demo - reviews up front, after-hours lead capture, follow-up so nothing goes cold. Takes about 30 seconds.","Pull top 3 from Google \Stone Harbor Homes Cape Coral\""; photos/logo from Google profile.""",https://www.buildzoom.com/contractor/stone-harbor-homes-llc,/home/shark/jawsai911-site-fixed/hot-leads/leads/stone-harbor-homes-llc.html,
20,All Pool Systems / Certified Pool Solutions,Fort Myers,FL,(941) 993-3814,5.0,24,B,5,todo,todo,,todo,24 five-star reviews and no website. 30-sec SuperSite demo for All Pool Systems.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. All Pool Systems and Certified Pool Solutions have 24 five-star reviews with no website collecting them. I built a quick demo - reviews front and center, after-hours capture, automatic follow-up. 30 seconds.","Pull top 3 from Google \All Pool Systems Fort Myers\""; photos/logo from Google profile.""",https://pro.porch.com/fort-myers-fl/pool-and-spa-specialists/certified-pool-solutions-inc-26150179/pp,/home/shark/jawsai911-site-fixed/hot-leads/leads/all-pool-systems-certified-pool-solutions.html,
,Pinch A Penny #32,Odessa,FL,(813) 792-1441,4.6,158,A,,ready,todo,,todo,158 reviews and no strong website converting them. Quick 30-sec SuperSite demo for Pinch A Penny #32.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Pinch A Penny #32 is sitting at 158 reviews. That's solid volume. The gap is turning those people into more store visits and service jobs after hours. I put together a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. Takes about 30 seconds.",A SuperSite backed by 158 reviews and built to turn store trust into more action.,"Lead with clarity, trust, and the quality of the finished result.",https://pinchapenny.com/stores/odessa-fl-183,leads/pinch-a-penny-32.html
,Patio Pools Inc,Odessa,FL,(352) 346-8418,4.2,92,A,,ready,todo,,todo,92 reviews and no digital front door. Quick SuperSite demo for Patio Pools.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Patio Pools has 92 reviews. Good reputation sitting there with nothing collecting the next leads. I put together a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. Takes half a minute.",A SuperSite backed by 92 reviews and tuned to catch the next inquiry.,"Lead with clarity, trust, and the quality of the finished result.",https://patiopools.com/,leads/patio-pools-inc.html
,Pools By G.E. Corp,Miami,FL,(786) 355-3382,5.0,20,A,,ready,todo,,todo,20 five-star reviews and no website. Quick SuperSite demo for Pools By G.E.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Pools By G.E. is at 5.0 with 20 reviews and no website collecting the next jobs. I put together a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. Takes about 30 seconds.",A SuperSite backed by a fresh five-star reputation.,"Lead with clarity, trust, and the quality of the finished result.",https://birdeye.com/pools-by-ge-corp-175165950445020,leads/pools-by-g-e-corp.html
,Seaquest Pool Systems,Orlando,FL,(407) 707-6662,5.0,12,A,,ready,todo,,todo,12 five-star reviews and no website. 30-sec SuperSite demo for Seaquest.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Seaquest Pool Systems is at 5.0 with 12 reviews and no website. I built a quick demo - reviews up front, after-hours capture, follow-up so nothing goes cold. 30 seconds.",A SuperSite backed by 12 five-star reviews and a clear niche position.,"Lead with clarity, trust, and the quality of the finished result.",https://trustburn.com/reviews/seaquest-pool-systems,leads/seaquest-pool-systems.html
,Atlantic Pool Build LLC,Pompano Beach,FL,(954) 932-6351,4.9,12,A,,ready,todo,,todo,12 reviews at 4.9 and no website. Quick SuperSite demo for Atlantic Pool Build.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Atlantic Pool Build is at 4.9 with 12 reviews. Good foundation - no system catching the next job after hours. I put together a quick SuperSite demo. Takes about 30 seconds.",A SuperSite backed by 12 reviews and a solid early foundation.,"Lead with clarity, trust, and the quality of the finished result.",https://www.atlanticpoolbuild.com/,leads/atlantic-pool-build-llc.html
,Grand Patio Pool,Odessa,FL,(813) 962-0374,4.1,156,A,,ready,todo,,todo,156 reviews and no website working hard enough. 30-sec SuperSite demo for Grand Patio Pool.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Grand Patio Pool has 156 reviews. Real volume - but no system converting the next job when the phone isn't answered. I built a quick SuperSite demo - reviews up front, after-hours lead capture, follow-up. 30 seconds.",A SuperSite backed by 156 reviews and built to work harder after hours.,"Lead with clarity, trust, and the quality of the finished result.",https://verifiedpoolpros.com/contractors/florida/odessa/,leads/grand-patio-pool.html
,A&R Pool Service LLC,Tampa,FL,(813) 753-6263,5.0,42,A,,ready,todo,,todo,42 five-star reviews and no website. 30-sec SuperSite demo for A&R Pool Service.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. A&R Pool Service is at 5.0 with 42 reviews. Clean reputation - no system turning it into new jobs after hours. I built a quick demo - reviews up front, missed-call recovery, follow-up. 30 seconds.",A SuperSite backed by 42 five-star reviews and built for steadier service demand.,"Lead with clarity, trust, and the quality of the finished result.",https://www.myfloridalicense.com/LicenseDetail.asp?SID=&id=B9FDCE56DD9CA20097BDF5D520FF73F5,leads/a-r-pool-service-llc.html
,Zen Pools Of SW FL LLC,Sarasota,FL,(941) 961-5812,5.0,17,A,,ready,todo,,todo,17 five-star reviews and no website. 30-sec SuperSite demo for Zen Pools.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. Zen Pools of SW FL is at 5.0 with 17 reviews. Solid start - nothing converting it online yet. I built a quick SuperSite demo - reviews up front, after-hours lead capture, follow-up. 30 seconds.",A SuperSite backed by a clean 5-star start.,"Lead with clarity, trust, and the quality of the finished result.",https://www.bbb.org/us/fl/sarasota/profile/pool-contractors/zen-pools-of-sw-fl-llc-0653-90399166,leads/zen-pools-of-sw-fl-llc.html
,"Parrish, Stephen Lee",Jacksonville,FL,(904) 648-9411,5.0,15,A,,ready,todo,,todo,15 five-star reviews and no website. Quick SuperSite demo.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. You're at 5.0 with 15 reviews and no digital front door. I put together a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. Takes about 30 seconds.",A SuperSite built to turn clean early trust into stronger inquiries.,"Lead with clarity, trust, and the quality of the finished result.",https://www.google.com/search?q=Parrish+Stephen+Lee+Jacksonville+FL,leads/parrish-stephen-lee.html
,A Plus Pools Corp.,Pompano Beach,FL,(954) 314-7591,5.0,10,A,,ready,todo,,todo,10 five-star reviews and no website. 30-sec SuperSite demo for A Plus Pools.,1-2 hours after text or next day,todo,"Hey, this is Bryan with JAWSAI. A Plus Pools is at 5.0 with 10 reviews and no website collecting them. I built a quick SuperSite demo - reviews front and center, after-hours capture, automatic follow-up. 30 seconds.",A SuperSite backed by early five-star trust.,"Lead with clarity, trust, and the quality of the finished result.",https://verifiedpoolpros.com/contractors/florida/pompano-beach/,leads/a-plus-pools-corp.html
